"","species_code","t","mass_rem"
"1","A",0,3870
"2","A",0,3870
"3","A",0,3870
"4","A",0.0383561643835616,3720
"5","A",0.0383561643835616,3730
"6","A",0.0383561643835616,3380
"7","A",0.0767123287671233,3590
"8","A",0.0767123287671233,3270
"9","A",0.0767123287671233,3680
"10","A",0.115068493150685,3770
"11","A",0.115068493150685,3400
"12","A",0.115068493150685,3750
"13","A",0.23013698630137,3430
"14","A",0.23013698630137,3270
"15","A",0.23013698630137,3510
"16","A",0.46027397260274,2700
"17","A",0.46027397260274,2530
"18","A",0.46027397260274,2500
"19","A",0.69041095890411,2200
"20","A",0.69041095890411,2120
"21","A",0.69041095890411,1860
"22","B",0,3870
"23","B",0,3870
"24","B",0,3870
"25","B",0.0383561643835616,2940
"26","B",0.0383561643835616,2840
"27","B",0.0383561643835616,2910
"28","B",0.0767123287671233,2470
"29","B",0.0767123287671233,2690
"30","B",0.0767123287671233,2290
"31","B",0.115068493150685,2800
"32","B",0.115068493150685,2890
"33","B",0.115068493150685,2560
"34","B",0.23013698630137,2250
"35","B",0.23013698630137,2360
"36","B",0.23013698630137,2340
"37","B",0.46027397260274,2010
"38","B",0.46027397260274,1870
"39","B",0.46027397260274,1450
"40","B",0.69041095890411,960
"41","B",0.69041095890411,850
"42","B",0.69041095890411,800
"43","BB",0,3870
"44","BB",0,3870
"45","BB",0,3870
"46","BB",0.0383561643835616,3370
"47","BB",0.0383561643835616,3390
"48","BB",0.0383561643835616,3580
"49","BB",0.0767123287671233,3440
"50","BB",0.0767123287671233,3590
"51","BB",0.0767123287671233,3680
"52","BB",0.115068493150685,3140
"53","BB",0.115068493150685,3590
"54","BB",0.115068493150685,3720
"55","BB",0.23013698630137,3210
"56","BB",0.23013698630137,3400
"57","BB",0.23013698630137,3600
"58","BB",0.46027397260274,2780
"59","BB",0.46027397260274,2800
"60","BB",0.46027397260274,2930
"61","BB",0.69041095890411,2120
"62","BB",0.69041095890411,3270
"63","BB",0.69041095890411,2160
"64","C",0,3870
"65","C",0,3870
"66","C",0,3870
"67","C",0.0383561643835616,3290
"68","C",0.0383561643835616,3360
"69","C",0.0383561643835616,3170
"70","C",0.0767123287671233,3000
"71","C",0.0767123287671233,3140
"72","C",0.0767123287671233,2950
"73","C",0.115068493150685,3170
"74","C",0.115068493150685,3380
"75","C",0.115068493150685,3310
"76","C",0.23013698630137,2830
"77","C",0.23013698630137,2960
"78","C",0.23013698630137,2940
"79","C",0.46027397260274,1890
"80","C",0.46027397260274,2130
"81","C",0.46027397260274,1690
"82","C",0.69041095890411,810
"83","C",0.69041095890411,460
"84","C",0.69041095890411,1130
"85","CC",0,3870
"86","CC",0,3870
"87","CC",0,3870
"88","CC",0.0383561643835616,1650
"89","CC",0.0383561643835616,1620
"90","CC",0.0383561643835616,1540
"91","CC",0.0767123287671233,1140
"92","CC",0.0767123287671233,1560
"93","CC",0.0767123287671233,1080
"94","CC",0.115068493150685,1500
"95","CC",0.115068493150685,1470
"96","CC",0.115068493150685,940
"97","CC",0.115068493150685,900
"98","CC",0.23013698630137,1220
"99","CC",0.23013698630137,530
"100","CC",0.46027397260274,120
"101","CC",0.46027397260274,260
"102","CC",0.46027397260274,180
"103","CC",0.69041095890411,240
"104","CC",0.69041095890411,100
"105","CC",0.69041095890411,130
"106","DD",0,3870
"107","DD",0,3870
"108","DD",0,3870
"109","DD",0.0383561643835616,3600
"110","DD",0.0383561643835616,3420
"111","DD",0.0383561643835616,3510
"112","DD",0.0767123287671233,3850
"113","DD",0.0767123287671233,3200
"114","DD",0.0767123287671233,3120
"115","DD",0.115068493150685,3190
"116","DD",0.115068493150685,3520
"117","DD",0.115068493150685,3710
